,Open,High,Low,Close,Date
126,41202.953311695775,41429.75855928309,40522.537568933825,41127.3515625,2000-06-28
127,41814.08018867925,41966.686320754714,40440.625,40440.625,2000-06-29
128,40440.63303154206,41203.66384345794,40288.02686915888,40822.1484375,2000-06-30
129,40745.83138992537,41203.64972014925,40288.013059701494,40898.4375,2000-07-03
130,41203.64834872159,41508.86055871212,40288.01171875,40288.01171875,2000-07-04
131,40440.623889875664,43721.655639431614,40364.320825932504,42958.625,2000-07-05
132,42729.71321556351,43874.2591052661,41966.682622428445,42653.41015625,2000-07-06
133,43492.74915540541,44255.779842342345,41890.38471283784,42348.203125,2000-07-07
134,42348.1982421875,44255.774739583336,41966.682942708336,43950.5625,2000-07-10
135,43492.744140625,45400.320638020836,43187.53190104167,43950.5625,2000-07-11
136,43569.0485281808,44408.38221261161,42424.50259486607,42729.71484375,2000-07-12
137,43111.22785762032,43416.44009024064,42424.5003342246,42806.015625,2000-07-13
138,43111.23015485491,43874.26077706473,42729.71484375,42729.71484375,2000-07-14
139,42729.71484375,42729.71484375,42729.71484375,42729.71484375,2000-07-17
140,43263.83363309353,43263.83363309353,41356.25719424461,42424.5,2000-07-18
141,43263.83363309353,43263.83363309353,41356.25719424461,42424.5,2000-07-19
142,40822.1357046274,41127.34793419471,39296.07455679086,39677.58984375,2000-07-20
143,40059.10845588235,40135.41151960784,38380.44105392157,38914.5625,2000-07-21
144,38075.23500976563,38685.65961914063,36625.4765625,36625.4765625,2000-07-24
145,36549.17238624744,37998.9307898773,35480.929351993866,37312.203125,2000-07-25
146,36778.071311211344,38075.223203930414,36434.707574903354,37006.98046875,2000-07-26
147,37006.98565067191,37770.01628264452,36205.80348710066,37617.41015625,2000-07-27
148,36625.4765625,37617.41655273438,35175.71811523438,36625.4765625,2000-07-28
149,35938.74276591024,37770.01628264452,35557.227449923936,37617.41015625,2000-07-31
150,36625.46719681909,38533.04361332008,36625.46719681909,38380.4375,2000-08-01
151,37998.92478735207,39067.16765285996,37464.80335459812,38685.65234375,2000-08-02
152,39448.68651463964,39448.68651463964,37770.01900337838,38113.3828125,2000-08-03
